0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:21 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490381 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:21 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490382 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:22 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490383 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:22 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490384 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:22 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490385 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:23 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490386 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:23 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490387 HTTP/1.1" 200 11123
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:23 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490388 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:24 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490389 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:24 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490390 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:24 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490391 HTTP/1.1" 200 11123
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:25 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490392 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:25 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490393 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:25 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490394 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:26 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490395 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:26 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490396 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:26 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490397 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:27 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490398 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:27 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490399 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:27 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490400 HTTP/1.1" 200 11123
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:27 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490401 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:28 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490402 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:28 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490403 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:28 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490404 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:29 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490405 HTTP/1.1" 200 11126
